keys,ja,en
lore.tutorial1-goblin-raid.stage.title,舞台,The Setting
lore.tutorial1-goblin-raid.stage.1,王国の外縁に位置する小さな辺境の町。都からの援軍が届くには遠すぎ、町の安全は自警団の手に委ねられている。,"A small frontier town on the kingdom's outer edge. Too far for reinforcements from the capital, the town's safety rests in the hands of its militia."
lore.tutorial1-goblin-raid.stage.2,"町の北には山がちな丘陵が続き、その先に岩と洞窟が入り組んだ「巣穴」がある。ゴブリンの群れが代々棲みつき、ときおり山を下りては近辺を荒らしている。","North of town, rocky hills give way to a tangle of caves and tunnels known as the lair. Generations of goblins have made it their home, descending from the hills to raid the surroundings from time to time."
lore.tutorial1-goblin-raid.stage.3,"町と巣穴のあいだには平原、丘、森の谷、そして隘路が続く。地形は変化に富み、それぞれの戦い方がある。","Between town and lair lie open plains, ridgelines, forested valleys, and narrow passes. The terrain is varied, and each stretch demands its own way of fighting."
lore.tutorial1-goblin-raid.quest.title,依頼の経緯,The Quest
lore.tutorial1-goblin-raid.quest.1,"平原に現れたゴブリンの斥候を自警団が叩いたところ、それは先兵隊にすぎなかった。本隊が丘を越えて迫り、やがて町そのものが炎に包まれる。","When the militia struck down a goblin scouting party on the plains, it turned out to be merely the vanguard. The main force crested the hills soon after, and before long the town itself was ablaze."
lore.tutorial1-goblin-raid.quest.2,"町を救い、住人を守り、ふたたびの襲撃を防ぐ——そのためには巣穴のゴブリンロードを討つほかない。自警団は少数だが、地の利と連携を頼りに北へ進軍することを決める。","Saving the town, protecting its people, and preventing another raid — there was no choice but to march on the Goblin Lord in his lair. The militia was few in number, but they resolved to push north, relying on terrain and teamwork."
lore.tutorial1-goblin-raid.party.title,一行の顔ぶれ,The Party
lore.tutorial1-goblin-raid.party.1,"自警団の隊長。指揮と剣を兼ねる前線の要で、部隊を率いて先頭を切る。地形と陣形を読むことに長ける。","The militia captain. Sword and command in one, he leads from the front. He reads terrain and formation like an open book."
lore.tutorial1-goblin-raid.party.2,"新兵。初陣に駆り出された自警団員。経験こそ浅いが、戦いのたびにたくましくなっていく。","A recruit. Pressed into his first battle as a militiaman. Green, but growing tougher with every fight."
lore.tutorial1-goblin-raid.party.3,"斥候。ハーフリングの情報屋で、巣穴の構造を探り出すのは彼の仕事。石投げと俊足を武器にダンジョンの先導役も務める。","The scout. A halfling informant whose job is mapping out the lair. Armed with a sling and fleet feet, he doubles as point man in the dungeon."
lore.tutorial1-goblin-raid.party.4,"弓兵。巣穴攻略に備えて合流した射手。離れたところから敵を削り、前衛の負担を軽くする。","An archer. A bowman who joined the force for the assault on the lair. He thins the enemy from range, easing the burden on the vanguard."
lore.tutorial1-goblin-raid.party.5,"神官。町を救うために追いついた聖職者。囚われた住民を解放する力を持つが、戦闘には向かない。町の解放を見届けたあとは残って治療に専念する。","A cleric. A priest who caught up with the force to help liberate the town. Able to free captive townsfolk but not built for combat. After the town is secured, he stays behind to tend the wounded."
lore.tutorial1-goblin-raid.enemy.title,相手は何者か,The Enemy
lore.tutorial1-goblin-raid.enemy.1,"ゴブリン。小柄だが群れで動き、数の暴力で押す。個々の力は自警団員に劣るが、束になれば脅威になる。","Goblins. Small but pack-minded, they rely on sheer numbers. One-on-one they are weaker than a militiaman, but in numbers they are dangerous."
lore.tutorial1-goblin-raid.enemy.2,"ホブゴブリン。ゴブリンの上位種で、体格も一撃の重さも段違い。高所や包囲を使わなければ真正面から打ち勝つのは難しい。","Hobgoblins. The larger cousins of common goblins, heavier and far harder-hitting. Without high ground or encirclement, beating one head-on is a tall order."
lore.tutorial1-goblin-raid.enemy.3,"ゴブリンアーチャー。巣穴の中で射撃を覚えた射手。火力と機動力は弓兵に劣るが、狭い通路では油断できない。","Goblin archers. Marksmen trained in the tunnels. They lack the firepower and mobility of a true bowman, but in tight corridors they cannot be ignored."
lore.tutorial1-goblin-raid.enemy.4,"ゴブリンロード。巣穴の主にして群れの頭目。配下とは格の違う戦闘力を持ち、玉座の間に陣取って動かない。力ずくで崩すのではなく、挟み撃ちにして弱らせるのが定石。","The Goblin Lord. Master of the lair and chieftain of the horde. His fighting prowess is a cut above his minions, and he will not budge from his throne room. The way to bring him down is not brute force but a pincer attack, weakening him from both sides."
lore.tutorial1-goblin-raid.origin.title,物語の背景,The Backstory
lore.tutorial1-goblin-raid.origin.1,"ゴブリンの群れが大挙して山を下りるのは珍しいことではないが、今回の襲撃はいつもより組織だっていた。ロードが群れを束ね、斥候を先行させ、本隊を控えさせた——自然の衝動だけでは説明しにくい統率が見られた。","It is not unusual for goblin hordes to sweep down from the hills in force, but this raid was more organized than most. The Lord marshaled the horde, sent scouts ahead, and held back the main body — a degree of coordination hard to explain by instinct alone."
lore.tutorial1-goblin-raid.origin.2,"自警団は少数精鋭で持ちこたえたが、都からの援軍はついに来なかった。辺境の町は自力で身を守るしかないという現実が、あらためて突きつけられた戦いだった。","The militia held with few but skilled fighters, yet reinforcements from the capital never came. This battle drove home once more the reality that a frontier town must fend for itself."
lore.tutorial1-goblin-raid.origin.3,"巣穴を潰したことでゴブリンの群れは散り、しばらくは平穏が戻る。だが山の向こうにはまだ何かがいる——群れが降りてきた本当の理由を知る者は、まだいない。","With the lair destroyed, the goblin horde scattered, and for a time peace returned. But something still lurks beyond the mountains — and no one yet knows the true reason the horde descended."
