keys,ja,en
goblin-raid.title,ゴブリンの襲撃,Goblin Raid
goblin-raid.desc,町外れに現れたゴブリンの群れを討ち、襲われる町を救い、巣穴の主を断つ。移動・地形・包囲・支援・間接・占領といった戦術の基礎を、隊長と新兵の初陣を通してひとつずつ学ぶ、旅立ちの章。,"Rout the goblins at the town's edge, free the town, end their lord in his den. Movement, terrain, encirclement, support, indirect fire, capture — the basics, one battle at a time."
goblin-raid.st1.title,先兵隊との遭遇,Meet the Raiders
goblin-raid.st1.synopsis,町外れの平原にゴブリンが現れた。数は多くない、本隊に先んじた斥候だろう。隊長は初陣の新兵を連れ、数が増える前に叩きに出る。,"Goblins have appeared on the plain outside town — only a handful, scouts running ahead of a larger force. The captain takes his raw recruit out to break them before their numbers grow."
goblin-raid.st2.title,高台の布陣,Take the High Ground
goblin-raid.st2.synopsis,先兵隊は退けた。だが丘の向こうから本隊が来る。ひと振りの重いホブゴブリンが二匹混じっている。低地で正面から受ければ削られる一方だ。丘を先に取り、肩を並べて迎え撃つ。,"The scouts are routed, but the main force is coming over the hill — two hobgoblins among them, and their blows land heavy. Trade blows from the low ground and we are the ones worn down. Take the hill first and hold it shoulder to shoulder."
goblin-raid.st3.title,隘路の包囲戦,Close the Trap
goblin-raid.st3.synopsis,丘の戦いに勝った直後、谷の向こうの町から煙が上がった。町との間にはゴブリンの群れ。正面で受ければ呑まれる。細道へ誘い込み、出口を挟んで一匹ずつ捌いて押し通る。,"Just as the hill is won, smoke rises from the town across the valley — and a goblin swarm sits between us and it. Meet it head-on and we are swallowed. Lure it into the narrow pass, flank the exit, and cut them down one at a time to push through."
goblin-raid.st4.title,町の解放,Free the Town
goblin-raid.st4.synopsis,谷の群れは捌いた。追いついた神官を加え、燃える町へ駆けつける。まだ焼け落ちてはいない。町を襲うゴブリンを引き受け、立てる者が剣を取るまで持ちこたえる。,"The valley swarm is cleared. A priest catches up and joins the squad as it rushes for the burning town. It has not burned out yet. Take on the raiders, and hold until those who can still stand take up swords."
goblin-raid.st5.title,巣穴へ進軍,Strike from Afar
goblin-raid.st5.synopsis,町は解放され、助けた人々が剣を取った。斥候が言うには、襲撃の元は北の巣穴だ。元を断たねばまた襲われる。弓を携え、森に散らばる敵を引きつけては削り、巣穴の入口を目指す。,"The town is free and the people saved there have taken up arms. The scout names the source: the nest to the north. Leave it and the raids return. With bows in hand, draw in the goblins scattered through the woods, whittle them down, and take the entrance."
goblin-raid.st6.title,潜む伏兵,Draw Them Out
goblin-raid.st6.synopsis,巣穴の入口を制圧した。中は通路と部屋が入り組み、踏み込めば部屋ごと一斉に来る。足の速い斥候が一組だけ釣り出し、通路で各個に叩く。,"The entrance is taken. Inside is a warren of tangled passages and rooms, and blundering in brings a whole room at once. The quick-footed scout lures one group into a passage, where the squad picks them off one by one."
goblin-raid.st7.title,ゴブリンの王,The Goblin King
goblin-raid.st7.synopsis,手下の大半を断ち、残るは最奥のゴブリンロード。正面で殴り合えば保たない。隊を二手に分け、表で引きつけ、裏の通路から回り込んで前後で挟む。ここまでに覚えた全部を使う。,"Most of the underlings are down; only the Goblin Lord in the innermost chamber remains. Trade blows head-on and the squad will not hold. Split in two — draw them at the front, circle in from the back passage, and pin the Lord front and rear. Everything learned so far, all at once."
undead-rush.title,アンデッドの群れ,The Undead Swarm
undead-rush.desc,墓地から湧き出すアンデッドとの戦い。騎士団・教会・魔法ギルドの混成調査隊が、魔法兵の長射程と輸送、陣形スキルを駆使し、屍の群れを押し返して元凶のネクロマンサーを討つ第二の章。,"The dead well up from the graveyard. Knights, clergy, and mages push back the swarm with long-range casters, transport, and formation skills, and cut down the necromancer behind it."
undead-rush.st1.title,屍の迎撃,Shield the Casters
undead-rush.st1.synopsis,動く骸の噂を確かめに、騎士団・教会・魔法ギルドの調査隊が墓地へ入る。噂は本当だった。屍の足は遅く、術者の魔法のほうが先に届く。前衛で受け、後ろから撃って近づかせずに削る。,"A joint party of knights, clergy, and mages enters the graveyard to see whether the rumor of walking bones is true — and it is. The dead are slow, and a caster's reach is longer. Hold the front, shoot from behind, and wear them down before they ever close."
undead-rush.st2.title,集落の救援,Race to the Village
undead-rush.st2.synopsis,屍は退けたが、墓地のすぐ先には小さな集落がある。歩けば日が暮れる。荷馬車に司祭を乗せ、前衛が囲んで走る。馬車が壊れれば乗っている者ごと失われ、詰所を奪われればそこで負けだ。,"The dead are beaten back, but a small settlement lies just past the graveyard and walking there would take until nightfall. The priest rides the wagon while the rest escort it. Lose the wagon and everyone aboard is lost; lose the guard post and the fight is lost with it."
undead-rush.st3.title,屍の殲滅,Unleash the Trinity Nova
undead-rush.st3.synopsis,集落は守った。だが墓地の奥から、地平を埋めるほどの屍が湧き続けている。ギルドから術者をもう一人呼び、三人が三角に組んで合体魔法を撃つ。狭い口をバリケードで塞ぎ、詰まったところへ落とす。,"The settlement is saved, but the dead keep pouring from deeper in — enough to fill the horizon. Another caster comes from the guild: three mages set in a triangle can cast the Trinity Nova. Seal the narrow gap with barricades and drop it where they pile up."
undead-rush.st4.title,墓地の浄化,Seal the Graves
