keys,ja,en
lore.tutorial1-goblin-raid.stage.title,舞台,The Setting
lore.tutorial1-goblin-raid.stage.1,王国の外縁に位置する小さな辺境の町。都からの援軍が届くには遠すぎ、町の安全は自警団の手に委ねられている。,"A small frontier town on the kingdom's outer edge. Too far for reinforcements from the capital, the town's safety rests in the hands of its militia."
lore.tutorial1-goblin-raid.stage.2,"町の北には山がちな丘陵が続き、その先に岩と洞窟が入り組んだ「巣穴」がある。ゴブリンの群れが代々棲みつき、ときおり山を下りては近辺を荒らしている。","North of town, rocky hills give way to a tangle of caves and tunnels known as the lair. Generations of goblins have made it their home, descending from the hills to raid the surroundings from time to time."
lore.tutorial1-goblin-raid.stage.3,"町と巣穴のあいだには平原、丘、森の谷、そして隘路が続く。地形は変化に富み、それぞれの戦い方がある。","Between town and lair lie open plains, ridgelines, forested valleys, and narrow passes. The terrain is varied, and each stretch demands its own way of fighting."
lore.tutorial1-goblin-raid.quest.title,依頼の経緯,The Quest
lore.tutorial1-goblin-raid.quest.1,"平原に現れたゴブリンの斥候を自警団が叩いたところ、それは先兵隊にすぎなかった。本隊が丘を越えて迫り、やがて町そのものが炎に包まれる。","When the militia struck down a goblin scouting party on the plains, it turned out to be merely the vanguard. The main force crested the hills soon after, and before long the town itself was ablaze."
lore.tutorial1-goblin-raid.quest.2,"町を救い、住人を守り、ふたたびの襲撃を防ぐ——そのためには巣穴のゴブリンロードを討つほかない。自警団は少数だが、地の利と連携を頼りに北へ進軍することを決める。","Saving the town, protecting its people, and preventing another raid — there was no choice but to march on the Goblin Lord in his lair. The militia was few in number, but they resolved to push north, relying on terrain and teamwork."
lore.tutorial1-goblin-raid.party.title,一行の顔ぶれ,The Party
lore.tutorial1-goblin-raid.party.1,"自警団の隊長。指揮と剣を兼ねる前線の要で、部隊を率いて先頭を切る。地形と陣形を読むことに長ける。","The militia captain. Sword and command in one, he leads from the front. He reads terrain and formation like an open book."
lore.tutorial1-goblin-raid.party.2,"新兵。初陣に駆り出された自警団員。経験こそ浅いが、戦いのたびにたくましくなっていく。","A recruit. Pressed into his first battle as a militiaman. Green, but growing tougher with every fight."
lore.tutorial1-goblin-raid.party.3,"斥候。ハーフリングの情報屋で、巣穴の構造を探り出すのは彼の仕事。石投げと俊足を武器にダンジョンの先導役も務める。","The scout. A halfling informant whose job is mapping out the lair. Armed with a sling and fleet feet, he doubles as point man in the dungeon."
