keys,ja,en
manual.unit.title,ユニットの能力値,Unit Stats
manual.unit.main.title,ユニットの能力値,Unit Stats
manual.unit.main.intro,盤の駒はそれぞれ性能を持つ。ここではその項目が何を指すのかを説明する。実際の数値は、駒を選んだときの情報パネルに出る。,Every unit on the board has its own stats. This chapter explains what each of them means. The actual numbers appear in the info panel when you select a unit.
manual.unit.main.troops.term,兵数,Strength
manual.unit.main.troops.desc,その駒に残っている兵の数。満員は8で、0になると駒が盤から消える。攻撃力も防御力も兵数に比例するので、削られた駒は攻めも守りも弱くなる。補充はできない。ドラゴンや馬車のように頭数を持たない駒もあるが、それらも同じ兵数で数える＝減れば同じように弱り、0で盤から消える。,"How many soldiers the unit has left. Full strength is 8, and at 0 the unit is gone from the board. Both attack and defense scale with strength, so a worn-down unit is weaker at everything. There is no way to replenish it. Some units are a single creature or vehicle rather than a squad — a dragon or a wagon — and their Strength is counted the same way: it weakens them as it falls and removes them at 0."
manual.unit.main.atk_ground.term,対地,Atk vs Ground
manual.unit.main.atk_ground.desc,地上の敵を攻撃するときに使う攻撃力。兵1体あたりの値で、実際の攻撃力はこれに兵数を掛けたものから始まる。,The attack power used against ground units. It is the value per soldier — actual attack power starts from this multiplied by strength.
manual.unit.main.atk_air.term,対空,Atk vs Air
manual.unit.main.atk_air.desc,飛行の敵を攻撃するときに使う攻撃力。0の駒は飛行を攻撃対象に選べず、飛行に殴られても反撃できない。対空を持つのは弓兵・飛行兵・魔法兵で、歩兵と占領兵の近接は空に届かない。,"The attack power used against fliers. A unit with 0 here cannot target fliers at all, and cannot counter when a flier attacks it. Archers, fliers and mages carry this — infantry and the clergy cannot reach the air in melee."
manual.unit.main.defense.term,防御,Defense
manual.unit.main.defense.desc,攻撃を受けたときの固さ。物理と魔法で分かれておらず、相手が地上か飛行かでも分かれない単一の値になる。,"How tough the unit is when attacked. It is a single value — not split into physical and magical, and not split by whether the attacker is on the ground or in the air."
manual.unit.main.pierce.term,防御貫通,Pierce
manual.unit.main.pierce.desc,相手の防御を無視する割合。割合のぶんだけ相手の防御を減らして計算する。相手が硬いほど効きが伸びるので、貫通を持つ駒は重装の相手にぶつける。撃った側の性質なので、反撃にはその相手の貫通が効く。,"The share of the target's defense that is ignored. The target's defense is reduced by that share before damage is worked out. The harder the target, the more it pays off, so send piercing units against heavy armor. It belongs to whoever is attacking, so a counterattack applies the counterattacker's own pierce."
manual.unit.main.range.term,射程,Range
manual.unit.main.range.desc,攻撃できる距離の下限と上限。1なら近接だけ。1-2の弓は隣接した相手も撃てる。3-5の砲兵は下限が3なので、懐に入られると撃てず反撃もできない。,"The lowest and highest distance the unit can attack at. Range 1 means melee only. An archer at 1-2 can still shoot an adjacent enemy. Artillery at 3-5 has a minimum range of 3, so an enemy in its face cannot be hit — or countered."
manual.unit.main.move.term,移動,Move
manual.unit.main.move.desc,1ターンに使える移動力。地形ごとの進入コストを足していき、この値を超えない範囲まで動ける。,The movement allowance for one turn. Entry costs for each terrain are added up along the path and the unit can go as far as this value allows.
manual.unit.main.move_type.term,移動種別,Move Type
manual.unit.main.move_type.desc,地形ごとの進入コストを決める表。同じ移動力でも、種別が違えば通れる地形も進める距離も変わる。,The table of entry costs per terrain. Two units with the same Move can still differ in what they can cross and how far they can get.
manual.unit.main.move_after_attack.term,攻撃後再移動,Move After Attack
